NationalParkName,OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
Dinosaur National Monument,6,Wagon Wheel Trail,,Wagon Wheel Trail,Unmaintained Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-16T00:00:00.000Z,> 1 m and <= 5 m,Yes,cb286a5d-d8bb-43e3-9f3c-9b64060b782e
Dinosaur National Monument,7,McKee Springs Petroglyph Trail,,McKee Springs Petroglyph Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Digitized,NAIP 2014,2014-07-31T00:00:00.000Z,> 5 m and <= 10 m,Yes,4c2558e3-2836-4329-bf38-d279dd2c7acb
Dinosaur National Monument,8,Jones Hole Trail,,Jones Hole Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Digitized,ESRI Imagery,2014-07-31T00:00:00.000Z,> 5 m and <= 10 m,Yes,0b1716b4-e45e-4d46-ace2-e5c21250cfa2
Dinosaur National Monument,9,Castle Park Overlook Trail,,Castle Park Overlook Trail,Unmaintained Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-16T00:00:00.000Z,> 1 m and <= 5 m,Yes,de4200e1-d385-4a37-8ee3-636d4725091a
Dinosaur National Monument,11,Echo Park Trail,,Echo Park Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-16T00:00:00.000Z,> 15 cm and <= 1 m,Yes,c040747f-b985-4c92-b86d-5a711d165137
Dinosaur National Monument,12,Baker Spring Trail,,Baker Spring Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-16T00:00:00.000Z,> 15 cm and <= 1 m,Yes,c2b47351-edf3-4cf7-8711-ca160b614c8f
Dinosaur National Monument,14,Bull Canyon Trail,,Bull Canyon Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-22T00:00:00.000Z,> 1 m and <= 5 m,Yes,edfc95e2-7f82-4a24-a529-448c14e668f0
Dinosaur National Monument,15,Harding Hole Trail,,Harding Hole Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-16T00:00:00.000Z,> 15 cm and <= 1 m,Yes,f098e7c1-b050-4bfd-881c-de434a2ae6dd
Dinosaur National Monument,16,Swelter Shelter Trail,,Swelter Shelter Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7X,2015-10-18T00:00:00.000Z,> 15 cm and <= 1 m,Yes,07dc76f4-b503-4673-b301-7dfc2e36489b
Dinosaur National Monument,17,Pullout 3 Trail,,Pullout 3 Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7X,2015-10-18T00:00:00.000Z,> 15 cm and <= 1 m,Yes,e6013a75-09ff-46be-b3ff-6e78483bc615
Dinosaur National Monument,18,Cub Creek Petroglyph Trail #13,,Cub Creek Petroglyph Trail #13,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7X,2015-10-18T00:00:00.000Z,> 15 cm and <= 1 m,Yes,2c85cb1e-a43f-4b39-810c-8d3c981d5fa7
Dinosaur National Monument,19,Cub Creek Petroglyph Trail #14,,Cub Creek Petroglyph Trail #14,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7X,2015-10-18T00:00:00.000Z,> 1 m and <= 5 m,Yes,59c1c4ac-34a0-4964-aef2-4d38d3828351
Dinosaur National Monument,21,Box Canyon Trail,,Box Canyon Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Autonomous GPS,Geo 7x,2015-10-20T00:00:00.000Z,> 1 m and <= 5 m,Yes,eaef3ac6-3df7-4631-b0a9-fbbf29c23fea
Dinosaur National Monument,22,Cottonwood Wash Trail,,Cottonwood Wash Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-20T00:00:00.000Z,> 15 cm and <= 1 m,Yes,8f24fe9c-8d11-407e-9228-1efc1b2afed2
Dinosaur National Monument,24,Desert Voices Trail,,Desert Voices Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-20T00:00:00.000Z,> 1 m and <= 5 m,Yes,240b7bed-36e2-4029-98ed-846fb7bb3d02
Dinosaur National Monument,25,Fossil Discovery Trail,,Fossil Discovery Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Autonomous GPS,Geo 7x,2015-10-20T00:00:00.000Z,> 1 m and <= 5 m,Yes,95d515b0-aae2-4dc8-81c1-658e68666519
Dinosaur National Monument,26,Fossil Discovery Trail,,Fossil Discovery Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-20T00:00:00.000Z,> 15 cm and <= 1 m,Yes,085b7f0b-a5c1-479b-a502-0c5bf226ca6e
Dinosaur National Monument,27,Fossil Discovery Wood Surface Trail,,Fossil Discovery Wood Surface Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-20T00:00:00.000Z,> 15 cm and <= 1 m,Yes,2fa08747-e84f-45d0-b049-cf29a8020685
Dinosaur National Monument,28,Fossil Discovery Trail,,Fossil Discovery Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Autonomous GPS,Geo 7x,2015-10-20T00:00:00.000Z,> 1 m and <= 5 m,Yes,af549f88-7ba6-4052-bac2-26e97aaa87e8
Dinosaur National Monument,29,Hog Canyon Trail,,Hog Canyon Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Autonomous GPS,Geo 7x,2015-10-20T00:00:00.000Z,> 1 m and <= 5 m,Yes,3e58a7d7-761b-416f-b548-38bc1a47f7d3
Dinosaur National Monument,30,Sound of Silence Trail,,Sound of Silence Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-20T00:00:00.000Z,> 1 m and <= 5 m,Yes,acb7b49a-8443-467f-ac21-46e8cf4e385c
Dinosaur National Monument,31,Sound of Silence Trail,,Sound of Silence Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-20T00:00:00.000Z,> 15 cm and <= 1 m,Yes,b9767fc0-51f6-46bc-b6ac-72c71e33f009
Dinosaur National Monument,32,Echo Park Overlook Picnic Area Trail,<Null>,Echo Park Overlook Picnic Area Trail,Park Trail,Existing,Gravel,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-22T00:00:00.000Z,>15 cm and <= 1 m,Yes,b8a10c9a-9a7b-40c5-b071-069726a83d02
Dinosaur National Monument,33,Iron Springs Bench Overlook Trail,<Null>,Iron Springs Bench Overlook Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-22T00:00:00.000Z,>15 cm and <= 1 m,Yes,21604352-4c04-4143-be38-7313adc7b0c3
Dinosaur National Monument,34,Canyon Overlook Trail,<Null>,Canyon Overlook Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-22T00:00:00.000Z,>15 cm and <= 1 m,Yes,32a634e2-6592-4290-8927-5abada266efb
Dinosaur National Monument,36,River Trail,<Null>,River Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-22T00:00:00.000Z,>15 cm and <= 1 m,Yes,7c8b1a78-ff7d-4c35-be06-cdea1cc37e11
Dinosaur National Monument,37,Desert Voices Trail,<Null>,Desert Voices Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-22T00:00:00.000Z,>15 cm and <= 1 m,Yes,d2e012e6-0298-42d8-b7d4-18389d831ba9
Dinosaur National Monument,38,Plug Hat Picnic Area Trail,<Null>,Plug Hat Picnic Area Trail,Park Trail,Existing,Bituminous,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-23T00:00:00.000Z,>15 cm and <= 1 m,Yes,b3aaab6f-e7cf-489e-b75f-1725b3175f45
Dinosaur National Monument,39,Plug Hat Trail,<Null>,Plug Hat Trail,Park Trail,Existing,Bituminous,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-23T00:00:00.000Z,>15 cm and <= 1 m,Yes,99ff56f6-b93a-4cd4-a595-be47b5369442
Dinosaur National Monument,40,Plug Hat Nature Trail,<Null>,Plug Hat Nature Trail,Park Trail,Existing,Gravel,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-23T00:00:00.000Z,> 1 m and <= 5 m,Yes,40a60741-1c68-4c19-973b-eded0a1b0f69
Dinosaur National Monument,42,Cold Desert Trail,<Null>,Cold Desert Trail,Park Trail,Existing,Earth,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Differential GPS,Geo 7x,2015-10-23T00:00:00.000Z,> 1 m and <= 5 m,Yes,ef8e98a5-1f89-43f4-b29c-2b6c74b47d36
Dinosaur National Monument,44,Deerlodge Trail,,Deerlodge Trail,Unmaintained Trail,Unknown,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,DINO,,Digitized,ESRI Imagery,2015-01-01T00:00:00.000Z,,Yes,db21c946-d97d-4b9d-8bc9-44a35979c281
Glen Canyon National Recreation Area,1,Roost Road,,Roost Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,8e581b8a-66dd-462f-a63c-1ed0e2934cdd
Glen Canyon National Recreation Area,2,Orange Cliffs Trail,,Orange Cliffs Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,27baa4ff-3dfd-45e0-b7ec-93e69cf5a318
Glen Canyon National Recreation Area,3,Cleopatra Chair Trail,Road 775,Cleopatra Chair Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,b31ce872-9e41-40f9-8b37-faea1b169f61
Glen Canyon National Recreation Area,4,Panorama Point Trail,Road 774,Panorama Point Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,c2f552bc-1186-44a8-8977-41fd5c35dd6c
Glen Canyon National Recreation Area,5,Panorama Point Way,Road 744,Panorama Point Way,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,af3faf1c-5c4e-4cde-b413-bc78d402ac8e
Glen Canyon National Recreation Area,6,French Spring Road,,French Spring Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,40ed5baf-eb39-4d73-9170-ac642950965b
Glen Canyon National Recreation Area,7,Sit Down Bench Trail,Road 230,Sit Down Bench Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,4704beda-b58e-4533-aadc-7ff2913c3990
Glen Canyon National Recreation Area,8,Alstrom Point Trail,Road 264,Alstrom Point Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian|Bicycle,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,414a5d20-801f-4468-bec9-44b9f3f8bb70
Glen Canyon National Recreation Area,9,Grand Bench Trail,Road 262,Grand Bench Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,a2637fc6-e8b3-43d5-9087-5fb723568115
Glen Canyon National Recreation Area,10,Alstrom Point Access Trail,,Alstrom Point Access Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,c44e67f3-da60-41a7-83f4-949d989c7149
Glen Canyon National Recreation Area,11,Crosby Canyon Trail,Road 231,Crosby Canyon Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,d8995bb5-b73c-40b6-86f5-d8bec537b61f
Glen Canyon National Recreation Area,12,Fortymile Ridge Trail,,Fortymile Ridge Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,93016513-c4b7-413f-a70f-6f1087251b27
Glen Canyon National Recreation Area,13,Gunsight Canyon Trail,Road 265,Gunsight Canyon Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,5d7e4f6d-f6b2-44af-a9c9-48dfac9da49a
Glen Canyon National Recreation Area,14,Smoky Mountain Road,Road 230,Smoky Mountain Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,65ce3d39-fc8e-45eb-a2fd-f56084ce8cef
Glen Canyon National Recreation Area,15,Grand Bench Trail,,Grand Bench Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,941efb06-9b05-4870-a805-680804656dd4
Glen Canyon National Recreation Area,16,Little Valley Road,,Little Valley Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,79b230bd-ad58-4215-a94c-00fb7d03a982
Glen Canyon National Recreation Area,17,Harris Wash Trail,,Harris Wash Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,471c1539-b0f3-4679-87c8-b1ac3716fa21
Glen Canyon National Recreation Area,18,Flint Trail Spur Trail,,Flint Trail Spur Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Heads-Up Digitized,NAIP 2009 imagery,2014-07-31T00:00:00.000Z,,Yes,99527f29-ea06-40ef-b6dd-c4d837b87cff
Glen Canyon National Recreation Area,19,Flint Trail Spur Trail,,Flint Trail Spur Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Heads-Up Digitized,NAIP 2009 imagery,2014-07-31T00:00:00.000Z,,Yes,46272b00-8386-41bc-90b5-1056ab9d5485
Glen Canyon National Recreation Area,20,Moody Creek Road,,Moody Creek Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,16efd509-ecc4-488a-b072-e6387059201b
Glen Canyon National Recreation Area,21,Trail,,Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Heads-Up Digitized,NAIP 2009 imagery,2014-07-31T00:00:00.000Z,,Yes,737babda-e431-43f2-9de5-82c8e4b4de8d
Glen Canyon National Recreation Area,22,Sunset Pass Spur Trail,,Sunset Pass Spur Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,cany_roads.mbd,2014-07-31T00:00:00.000Z,,Yes,679d5401-6aaf-436d-86f2-9201a30e4d39
Glen Canyon National Recreation Area,23,Golden Stairs Road,,Golden Stairs Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,2f29cd1a-cc3d-4328-beb0-6c17608572aa
Glen Canyon National Recreation Area,24,Moody Canyon Road,Road 332,Moody Canyon Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,roadsall.shp,2014-07-31T00:00:00.000Z,,Yes,b55f2946-7179-482b-b220-dabd361173bc
Glen Canyon National Recreation Area,25,Moody Canyon Road,Road 332,Moody Canyon Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,roadsall.shp,2014-07-31T00:00:00.000Z,,Yes,8f737b67-1053-4de6-9982-4324d6a5e138
Glen Canyon National Recreation Area,26,Queen Annes Bottom Road,Road 763,Queen Annes Bottom Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,5fd3bab3-a820-428e-a9f1-c1bfc56deb62
Glen Canyon National Recreation Area,27,Flint Trail,Road 633,Flint Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,2faaaf37-9aa8-445d-84c3-62187cb233a6
Glen Canyon National Recreation Area,28,Hatch Canyon Trail,Sunset Pass / Road 730,Hatch Canyon Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,9baac54e-be4d-4dc3-b803-a28227b4aa16
Glen Canyon National Recreation Area,29,Johns Canyon Road,,Johns Canyon Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,d90e47de-7ad9-4dde-9aa1-da2633bb79cc
Glen Canyon National Recreation Area,30,Whirlwind Crossing Road,,Whirlwind Crossing Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,96fe2b87-b380-4580-b18c-e4161289063e
Glen Canyon National Recreation Area,31,Trail,,Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,SGID_U024_RoadsDLG1985.shp,2014-07-31T00:00:00.000Z,,Yes,b0294688-8163-44f0-9656-35ac8ef7d3f9
Glen Canyon National Recreation Area,32,Muley Point Road,,Muley Point Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,d2ce2fd2-57f0-4e0f-8eca-38337641c0e7
Glen Canyon National Recreation Area,33,Piute Canyon Road,,Piute Canyon Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,61929145-27e0-4204-9a09-00442aa2aafd
Glen Canyon National Recreation Area,34,Trail,,Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Heads-Up Digitized,NAIP 2009 Imagery,2014-07-31T00:00:00.000Z,,Yes,0fa2885b-c894-4756-a5bb-0b4ed9cadf13
Glen Canyon National Recreation Area,35,Trail,,Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,sjcroads83.shp,2014-07-31T00:00:00.000Z,,Yes,344b32ed-91a4-4a8a-9473-2dadd828d112
Glen Canyon National Recreation Area,36,Trail,,Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,46a129b1-2d86-4cce-b83c-4f05c3e71a50
Glen Canyon National Recreation Area,37,Trail,,Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,sjcroads83.shp,2014-07-31T00:00:00.000Z,,Yes,4559f3ff-16aa-47b9-8249-140657911d3d
Glen Canyon National Recreation Area,38,Hole In The Rock Trail,Road 450,Hole In The Rock Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,9905a648-c033-42f5-9a4f-5636cdbeacaa
Glen Canyon National Recreation Area,39,The Rincon Trail,,The Rincon Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,95422aba-deff-4c0a-968c-f4d64d9ce691
Glen Canyon National Recreation Area,40,Bull Valley Trail,,Bull Valley Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,93add716-363e-4693-a797-f0296ba8e398
Glen Canyon National Recreation Area,41,Buff Valley Trail,,Buff Valley Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Heads-Up Digitized,NAIP 2009 Imagery,2014-07-31T00:00:00.000Z,,Yes,3661f296-0063-41d2-968e-917fc3aeb081
Glen Canyon National Recreation Area,42,Imperial Valley Trail,,Imperial Valley Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,8781738a-410c-45d6-b58a-0ad560920310
Glen Canyon National Recreation Area,43,Red Canyon Trail,Road 650,Red Canyon Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,f7b8927c-a9e2-48c8-b7dc-b1361f684ffa
Glen Canyon National Recreation Area,44,Trail,,Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Heads-Up Digitized,sjcroads83.shp,2014-07-31T00:00:00.000Z,,Yes,3a61a3ee-4e5a-4bb3-b6dc-faaf4f32288b
Glen Canyon National Recreation Area,45,White Canyon Trail,Road 656,White Canyon Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,65858ace-76bc-45bc-b729-392e0bd60cd4
Glen Canyon National Recreation Area,46,Fortknocker Canyon Road,Road 632,Fortknocker Canyon Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,dd233571-9f5d-4630-bb04-5becbd26bfa6
Glen Canyon National Recreation Area,47,Blue Notch Road,,Blue Notch Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,3edc7f5a-2ccc-426c-9cde-a2a9393745da
Glen Canyon National Recreation Area,48,White Canyon North Road,,White Canyon North Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,8d17b6f7-562e-4429-b0af-ae2adc98b3de
Glen Canyon National Recreation Area,49,Trail,,Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,bf7b0d92-5de9-47c7-8d2d-923f3584d50b
Glen Canyon National Recreation Area,50,Trail,,Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,3f3a3c61-242a-455a-ace4-d685839afe50
Glen Canyon National Recreation Area,51,Imperial Valley Trail,,Imperial Valley Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,64fa5401-f1b2-4adb-be6d-0d3fb3668be1
Glen Canyon National Recreation Area,52,Fortknocker Canyon Road,,Fortknocker Canyon Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,f7d4a41e-c930-4fec-bb73-6257754a52fc
Glen Canyon National Recreation Area,53,Sun Dance Trail,,Sun Dance Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,d4608157-0690-463f-9369-5099a6faa88b
Glen Canyon National Recreation Area,55,Trail,,Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Heads-Up Digitized,NAIP 2009 imagery,2014-07-31T00:00:00.000Z,,Yes,d1c2281a-5bab-4ddc-af53-9059664efdfc
Glen Canyon National Recreation Area,56,Golden Stairs Trail,,Golden Stairs Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,c32af493-eacd-46dc-a510-a96adf76d000
Glen Canyon National Recreation Area,57,North Trail,,North Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,,,Yes,02cb1876-9b87-4849-80c9-5a36f5352867
Glen Canyon National Recreation Area,58,North Trail,,North Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,2015-04-13T00:00:00.000Z,Unknown,,,,Yes,977a0569-4a47-4f33-bab8-890cb1e8cad3
