National Park Name,National Park Latitude Coordinate,National Park Longitude Coordinate,National Park Latitude & Longitudinal Coordinate Combination,Description,Visitors,ID,States,Area_sq_km,Area_acres,Date Established_readable,Date Established_unix,World Heritage Site,NPS Link,Image URL,Image Attribution,Image Attribution URL
Voyageurs,48.5,-92.88,POINT(-92.88 48.5),"This park protecting four lakes near the Canada–US border is a site for canoeing, kayaking, and fishing. The park also preserves a history populated by Ojibwe Native Americans, French fur traders called voyageurs, and gold miners. Formed by glaciers, the region features tall bluffs, rock gardens, islands, bays, and several historic buildings.",241912,park_voyageurs,"[{""id"":""state_minnesota"",""title"":""Minnesota""}]",883.0,218200.15,1971-01-08,32162400,False,https://www.nps.gov/voya/index.htm,voyageurs.jpg,PixelBay/@Goodfreephotos_com,https://pixabay.com/en/users/Goodfreephotos_com-10388/
Wind Cave,43.57,-103.48,POINT(-103.48 43.57),"Wind Cave is distinctive for its calcite fin formations called boxwork, a unique formation rarely found elsewhere, and needle-like growths called frostwork. The cave is one of the longest and most complex caves in the world. Above ground is a mixed-grass prairie with animals such as bison, black-footed ferrets, and prairie dogs, and ponderosa pine forests that are home to cougars and elk. The cave is culturally significant to the Lakota people as the site 'from which Wakan Tanka, the Great Mystery, sent the buffalo out into their hunting grounds.'",617377,park_wind-cave,"[{""id"":""state_south-dakota"",""title"":""South Dakota""}]",137.5,33970.84,1903-01-09,-2113668000,False,https://www.nps.gov/wica/index.htm,wind-cave.jpg,NPS,https://www.nps.gov
Wrangell–St. Elias,61.0,-142.0,POINT(-142 61),"An over 8 million acres (32,375 km2) plot of mountainous country—the largest National Park in the system—protects the convergence of the Alaska, Chugach, and Wrangell-Saint Elias Ranges, which include many of the continent's tallest mountains and volcanoes, including the 18,008-foot Mount Saint Elias. More than a quarter of the park is covered with glaciers, including the tidewater Hubbard Glacier, piedmont Malaspina Glacier, and valley Nabesna Glacier.",79047,park_wrangell–st.-elias,"[{""id"":""state_alaska"",""title"":""Alaska""}]",33682.6,8323146.48,1980-12-02,344584800,True,https://www.nps.gov/wrst/index.htm,wrangell-st-elias.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/
Yellowstone,44.6,-110.5,POINT(-110.5 44.6),"Situated on the Yellowstone Caldera, the park has an expansive network of geothermal areas including boiling mud pots, vividly colored hot springs such as Grand Prismatic Spring, and regularly erupting geysers, the best-known being Old Faithful. The yellow-hued Grand Canyon of the Yellowstone River contains several high waterfalls, while four mountain ranges traverse the park. More than 60 mammal species including gray wolves, grizzly bears, black bears, lynxes, bison, and elk, make this park one of the best wildlife viewing spots in the country.",4257177,park_yellowstone,"[{""id"":""state_wyoming"",""title"":""Wyoming""},{""id"":""state_montana"",""title"":""Montana""},{""id"":""state_idaho"",""title"":""Idaho""}]",8983.2,2219790.71,1872-03-01,-3087396000,True,https://www.nps.gov/yell/index.htm,yellowstone.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/
Yosemite,37.83,-119.5,POINT(-119.5 37.83),"Yosemite features sheer granite cliffs, exceptionally tall waterfalls, and old-growth forests at a unique intersection of geology and hydrology. Half Dome and El Capitan rise from the park's centerpiece, the glacier-carved Yosemite Valley, and from its vertical walls drop Yosemite Falls, one of North America's tallest waterfalls at 2,425 feet (739 m) high. Three giant sequoia groves, along with a pristine wilderness in the heart of the Sierra Nevada, are home to a wide variety of rare plant and animal species.",5028868,park_yosemite,"[{""id"":""state_california"",""title"":""California""}]",3082.7,761747.5,1890-10-01,-2500916400,True,https://www.nps.gov/yose/index.htm,yosemite.jpg,PixelBay/@Free-Photos,https://pixabay.com/en/users/Free-Photos-242387/
Zion,37.3,-113.05,POINT(-113.05 37.3),"Located at the junction of the Colorado Plateau, Great Basin, and Mojave Desert, this park contains sandstone features such as mesas, rock towers, and canyons, including the Virgin River Narrows. The various sandstone formations and the forks of the Virgin River create a wilderness divided into four ecosystems: desert, riparian, woodland, and coniferous forest.",4295127,park_zion,"[{""id"":""state_utah"",""title"":""Utah""}]",595.8,147237.02,1919-11-19,-1581616800,False,https://www.nps.gov/zion/index.htm,zion.jpg,@kevinnayar,https://kevinnayar.github.io/
Black Canyon of the Gunnison,38.57,-107.72,POINT(-107.72 38.57),"The park protects a quarter of the Gunnison River, which slices sheer canyon walls from dark Precambrian-era rock. The canyon features some of the steepest cliffs and oldest rock in North America, and is a popular site for river rafting and rock climbing. The deep, narrow canyon is composed of gneiss and schist which appears black when in shadow.",238018,park_black-canyon-of-the-gunnison,"[{""id"":""state_colorado"",""title"":""Colorado""}]",124.4,30749.75,1999-10-21,940482000,False,https://www.nps.gov/blca/index.htm,black-canyon-of-the-gunnison.jpg,PixaBay/@mudnwaffles,https://pixabay.com/en/users/mudnwaffles-1830161/
Bryce Canyon,37.57,-112.18,POINT(-112.18 37.57),"Bryce Canyon is a geological amphitheater on the Paunsaugunt Plateau with hundreds of tall, multicolored sandstone hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers.",2365110,park_bryce-canyon,"[{""id"":""state_utah"",""title"":""Utah""}]",145.0,35835.08,1928-02-25,-1320688800,False,https://www.nps.gov/brca/index.htm,bryce-canyon.jpg,@kevinnayar,https://kevinnayar.github.io/
Canyonlands,38.2,-109.93,POINT(-109.93 38.2),"This landscape was eroded into a maze of canyons, buttes, and mesas by the combined efforts of the Colorado River, Green River, and their tributaries, which divide the park into three districts. The park also contains rock pinnacles and arches, as well as artifacts from Ancient Pueblo peoples.",776218,park_canyonlands,"[{""id"":""state_utah"",""title"":""Utah""}]",1366.2,337597.83,1964-09-12,-167338800,False,https://www.nps.gov/cany/index.htm,canyonlands.jpg,PixelBay/@12019,https://pixabay.com/en/users/12019-12019/
Capitol Reef,38.2,-111.17,POINT(-111.17 38.2),"The park's Waterpocket Fold is a 100-mile (160 km) monocline that exhibits the earth's diverse geologic layers. Other natural features include monoliths, cliffs, and sandstone domes shaped like the United States Capitol.",1064904,park_capitol-reef,"[{""id"":""state_utah"",""title"":""Utah""}]",979.0,241904.26,1971-12-18,61884000,False,https://www.nps.gov/care/index.htm,capitol-reef.jpg,PixelBay/@derwiki,https://pixabay.com/en/users/derwiki-562673/
